"cell.line","ACE2","TMPRSS2","tissue"
"LNCAPCLONEFGC",3.959034,12.21543,"PROSTATE"
"MDAPCA2B",3.708808,12.03082,"PROSTATE"
"VCAP",3.891627,11.114,"PROSTATE"
"COLO201",3.72151,10.36103,"LARGE_INTESTINE"
"CL40",7.546336,10.18496,"LARGE_INTESTINE"
"OVK18",3.738174,10.02471,"OVARY"
"JHOM2B",6.362574,9.956967,"OVARY"
"SNU620",3.664103,9.702977,"STOMACH"
"HCC1588",6.931632,9.406457,"LUNG"
"SNUC1",7.154692,9.386478,"LARGE_INTESTINE"
"CL34",5.389007,9.375443,"LARGE_INTESTINE"
"COLO205",3.8926,9.371255,"LARGE_INTESTINE"
"NCIH684",9.119185,9.305001,"LIVER"
"HT115",4.397064,9.29656,"LARGE_INTESTINE"
"OCUM1",4.491125,9.203632,"STOMACH"
"GSU",6.702173,9.179854,"STOMACH"
"HCC202",3.989762,9.065891,"BREAST"
"SNU283",4.175791,9.043746,"LARGE_INTESTINE"
"NCIH441",3.886552,9.020434,"LUNG"
"ASPC1",3.976772,8.994791,"PANCREAS"
"CL14",9.32288,8.973917,"LARGE_INTESTINE"
"SNU245",5.391832,8.92807,"BILIARY_TRACT"
"HCC70",4.986873,8.891942,"BREAST"
"MDAMB468",4.680445,8.822317,"BREAST"
"RCM1",4.411269,8.80127,"LARGE_INTESTINE"
"SW403",4.356635,8.780176,"LARGE_INTESTINE"
"HCC1187",3.871542,8.775344,"BREAST"
"SW1463",7.874185,8.745141,"LARGE_INTESTINE"
"ZR7530",3.80768,8.703581,"BREAST"
"SNU520",3.858066,8.667999,"STOMACH"
"HT55",7.396662,8.616114,"LARGE_INTESTINE"
"NCIH508",6.115525,8.584958,"LARGE_INTESTINE"
"UACC893",4.554532,8.582718,"BREAST"
"HUG1N",3.808905,8.553394,"STOMACH"
"LS1034",6.002249,8.539061,"LARGE_INTESTINE"
"SW948",4.202085,8.523387,"LARGE_INTESTINE"
"SU8686",3.827758,8.519331,"PANCREAS"
"HCC56",4.695732,8.480131,"LARGE_INTESTINE"
"T84",5.971963,8.456621,"LARGE_INTESTINE"
"HCC1599",3.869641,8.410564,"BREAST"
"SNU61",4.808401,8.405295,"LARGE_INTESTINE"
"LS180",3.997818,8.340325,"LARGE_INTESTINE"
"SW1417",3.950695,8.304434,"LARGE_INTESTINE"
"CCK81",5.11377,8.246982,"LARGE_INTESTINE"
"NCIH1781",4.860099,8.201521,"LUNG"
"SNU601",3.791847,8.18492,"STOMACH"
"SNU1033",4.320817,8.184592,"LARGE_INTESTINE"
"CW2",6.077977,8.159363,"LARGE_INTESTINE"
"GP2D",4.01813,8.131961,"LARGE_INTESTINE"
"SW620",4.01161,8.122838,"LARGE_INTESTINE"
"RT4",4.180343,8.073887,"URINARY_TRACT"
"SNU81",3.629599,8.064724,"LARGE_INTESTINE"
"PANC0813",3.759509,8.06279,"PANCREAS"
"SNUC4",4.332661,8.059587,"LARGE_INTESTINE"
"SKCO1",6.53322,8.015986,"LARGE_INTESTINE"
"OE19",3.812353,7.956598,"OESOPHAGUS"
"SW1116",4.863345,7.951145,"LARGE_INTESTINE"
"SNU719",3.860613,7.879855,"STOMACH"
"IM95",7.596566,7.877588,"STOMACH"
"JHUEM1",4.026519,7.867032,"ENDOMETRIUM"
"SNU869",3.931603,7.846,"BILIARY_TRACT"
"MDAMB175VII",5.912077,7.797199,"BREAST"
"YAPC",3.89483,7.780663,"PANCREAS"
"SNU213",3.924896,7.764833,"PANCREAS"
"CAL148",3.662764,7.71584,"BREAST"
"KE39",4.043948,7.703791,"STOMACH"
"LS411N",4.043409,7.645206,"LARGE_INTESTINE"
"KATOIII",4.165216,7.627285,"STOMACH"
"HCC38",3.708,7.616425,"BREAST"
"CACO2",7.116825,7.606378,"LARGE_INTESTINE"
"SNU175",3.869873,7.596516,"LARGE_INTESTINE"
"CAPAN1",3.917291,7.571063,"PANCREAS"
"LOVO",4.874441,7.568789,"LARGE_INTESTINE"
"NCIH2347",4.127185,7.489045,"LUNG"
"NCIH2126",4.762011,7.407074,"LUNG"
"NCIH3255",7.8351,7.400165,"LUNG"
"HPAFII",4.841684,7.321881,"PANCREAS"
"KMBC2",5.74545,7.290302,"URINARY_TRACT"
"KPL1",3.852605,7.222396,"BREAST"
"NCIH2444",3.933111,7.179866,"LUNG"
"HUPT4",4.268971,7.159019,"PANCREAS"
"LCLC97TM1",3.680051,7.154248,"LUNG"
"22RV1",3.671514,7.132602,"PROSTATE"
"C2BBE1",5.721108,7.129447,"LARGE_INTESTINE"
"UMUC1",3.891508,7.072094,"URINARY_TRACT"
"KCIMOH1",3.761593,7.05159,"PANCREAS"
"HUH6",4.285775,7.035715,"LIVER"
"LS513",4.663947,7.024006,"LARGE_INTESTINE"
"MDAMB415",3.907081,7.014121,"BREAST"
"NCIH2342",4.728272,7.012266,"LUNG"
"SNU16",7.373614,6.93924,"STOMACH"
"SNU407",3.864627,6.916592,"LARGE_INTESTINE"
"AGS",3.986742,6.910535,"STOMACH"
"AU565",4.829128,6.891109,"BREAST"
"HT29",3.716929,6.852306,"LARGE_INTESTINE"
"EVSAT",3.660838,6.717076,"BREAST"
"RERFLCKJ",4.338501,6.716066,"LUNG"
"5637",3.865196,6.716,"URINARY_TRACT"
"SNU1197",4.102176,6.68455,"LARGE_INTESTINE"
"SKBR3",3.818778,6.681405,"BREAST"
