"cell.line","ACE2","TMPRSS2","tissue"
"LNCAPCLONEFGC",-2.632862172,8.565645651,"PROSTATE"
"MDAPCA2B",-4.957475595,8.282196219,"PROSTATE"
"VCAP",-5.666491653,7.015217829,"PROSTATE"
"COLO201",-5.976956861,6.20902076,"LARGE_INTESTINE"
"OVK18",-5.860884305,5.979137581,"OVARY"
"CL40",2.938293772,5.973421834,"LARGE_INTESTINE"
"SNU620",-8.120855036,5.818089258,"STOMACH"
"JHOM2B",1.167030958,5.770260003,"OVARY"
"SNUC1",2.913826673,5.549751184,"LARGE_INTESTINE"
"NCIH684",4.291153833,5.289032602,"LIVER"
"HT55",2.69068061,5.282752348,"LARGE_INTESTINE"
"HCC1588",1.974053921,5.240132733,"LUNG"
"SNU283",-1.562634355,5.173783866,"LARGE_INTESTINE"
"HCC202",-2.359865854,5.06159945,"BREAST"
"HT115",-1.409305141,5.00725419,"LARGE_INTESTINE"
"GSU",1.401348162,4.993917325,"STOMACH"
"RCM1",0.002281265,4.968843683,"LARGE_INTESTINE"
"CL34",0.497468021,4.959432644,"LARGE_INTESTINE"
"OCUM1",-0.305689622,4.941537246,"STOMACH"
"SNU175",-5.715854242,4.895927183,"LARGE_INTESTINE"
"NCIH508",1.647608178,4.777908431,"LARGE_INTESTINE"
"SNU245",0.59724137,4.777474859,"BILIARY_TRACT"
"CL14",4.119981996,4.777113015,"LARGE_INTESTINE"
"HCC56",0.06713069,4.74429463,"LARGE_INTESTINE"
"LS513",0.067892864,4.722580967,"LARGE_INTESTINE"
"SNU869",-2.814882904,4.720890721,"BILIARY_TRACT"
"SNU61",-0.288159132,4.714088373,"LARGE_INTESTINE"
"NCIH441",-1.977263588,4.697726828,"LUNG"
"MDAMB468",0.087146197,4.691094725,"BREAST"
"HCC70",-0.204954895,4.65868176,"BREAST"
"SW1463",3.409881889,4.639208095,"LARGE_INTESTINE"
"KE39",-1.759032859,4.576845403,"STOMACH"
"SW1417",-2.749007718,4.55757086,"LARGE_INTESTINE"
"LS1034",1.345034298,4.540836209,"LARGE_INTESTINE"
"GP2D",-4.277711723,4.537409549,"LARGE_INTESTINE"
"SNU1033",-0.425523345,4.524909431,"LARGE_INTESTINE"
"SNU520",-4.451716163,4.506471029,"STOMACH"
"SU8686",-1.34624982,4.482792327,"PANCREAS"
"SW403",-1.932081376,4.482695961,"LARGE_INTESTINE"
"HCC1599",-6.864280695,4.480117399,"BREAST"
"HUG1N",-4.550359892,4.476519653,"STOMACH"
"ASPC1",-1.57850334,4.456094551,"PANCREAS"
"SKCO1",1.372730647,4.439033413,"LARGE_INTESTINE"
"SW948",-0.51197516,4.426151994,"LARGE_INTESTINE"
"RT4",-1.931949303,4.398601623,"URINARY_TRACT"
"SW1116",0.785630663,4.351289472,"LARGE_INTESTINE"
"CCK81",0.585357892,4.339762081,"LARGE_INTESTINE"
"YAPC",-2.469211367,4.331536002,"PANCREAS"
"SNU601",-3.649851239,4.331153268,"STOMACH"
"NCIH1781",-0.045408472,4.295328381,"LUNG"
"HCC1187",-1.881141917,4.286220025,"BREAST"
"SNU81",-1.787701038,4.280169265,"LARGE_INTESTINE"
"SNUC4",-1.12851292,4.273722194,"LARGE_INTESTINE"
"UACC893",-0.740409728,4.244487964,"BREAST"
"LS180",-3.226869549,4.229562711,"LARGE_INTESTINE"
"T84",1.468433255,4.213759699,"LARGE_INTESTINE"
"ZR7530",-3.26438851,4.191902008,"BREAST"
"SNU213",-2.052346298,4.12034104,"PANCREAS"
"CW2",1.047061823,4.096192519,"LARGE_INTESTINE"
"CAPAN1",-1.888496392,4.060105974,"PANCREAS"
"SW620",-5.131400378,4.009521459,"LARGE_INTESTINE"
"MDAMB175VII",1.309200435,3.936755641,"BREAST"
"PANC0813",-5.105853165,3.928930174,"PANCREAS"
"CACO2",1.955906335,3.809855543,"LARGE_INTESTINE"
"IM95",2.767124952,3.795332221,"STOMACH"
"HCC38",-3.73814037,3.691321709,"BREAST"
"CAL148",-7.48630276,3.682597745,"BREAST"
"HUPT4",-1.271241811,3.678812229,"PANCREAS"
"JHUEM1",-1.734326013,3.550312784,"ENDOMETRIUM"
"KMBC2",1.418983657,3.545127331,"URINARY_TRACT"
"LOVO",0.056574546,3.538684608,"LARGE_INTESTINE"
"ISHIKAWAHERAKLIO02ER",-5.254040051,3.538058176,"ENDOMETRIUM"
"KATOIII",-1.59341064,3.498104775,"STOMACH"
"LS411N",-2.487095249,3.490466296,"LARGE_INTESTINE"
"SNU719",-2.320433244,3.435046302,"STOMACH"
"HPAFII",0.375002299,3.370914709,"PANCREAS"
"NCIH2444",-2.573656023,3.329751181,"LUNG"
"SNU407",-3.58573207,3.304184463,"LARGE_INTESTINE"
"NCIH2347",-1.716230688,3.270122628,"LUNG"
"HUH6",-1.052569059,3.229276798,"LIVER"
"RERFLCKJ",-1.977762243,3.220775665,"LUNG"
"NCIH2342",-0.80513526,3.132723439,"LUNG"
"NCIH2126",0.22438403,3.123209069,"LUNG"
"SNU16",2.647460622,3.116498327,"STOMACH"
"22RV1",-6.808212274,3.068050369,"PROSTATE"
"OE19",-6.45856066,3.065991604,"OESOPHAGUS"
"RERFLCAD1",-2.891163556,3.004538699,"LUNG"
"HT29",-5.113953496,2.969204778,"LARGE_INTESTINE"
"PATU8988S",-5.27963152,2.890060502,"PANCREAS"
"C2BBE1",1.339984254,2.87067636,"LARGE_INTESTINE"
"NCIH3255",3.075061419,2.833618795,"LUNG"
"MDAMB415",-3.16807486,2.815941424,"BREAST"
"UMUC1",-0.902406652,2.81043121,"URINARY_TRACT"
"LCLC97TM1",-5.001557541,2.806372124,"LUNG"
"5637",-5.395785684,2.801292245,"URINARY_TRACT"
"KPL1",-6.357081241,2.769927913,"BREAST"
"OE33",-1.912168637,2.727467647,"OESOPHAGUS"
"PANC0403",-3.380439116,2.59173234,"PANCREAS"
