Gene,TMPRSS4
DMS53_LUNG,5.94843
SW1116_LARGE_INTESTINE,9.53943
NCIH1694_LUNG,4.363852
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.363039
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.141273
UMUC3_URINARY_TRACT,4.476764
HOS_BONE,3.927808
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.53243
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.146744
RVH421_SKIN,4.16573
NCIH1184_LUNG,4.256947
HCC2157_BREAST,4.508648
TC71_BONE,3.879529
NCIH2227_LUNG,3.642599
COLO205_LARGE_INTESTINE,9.631232
SNU449_LIVER,4.376103
NCIH28_PLEURA,4.131845
OV56_OVARY,4.360675
JHOS4_OVARY,7.802122
KYSE450_OESOPHAGUS,4.89764
RMUGS_OVARY,5.638068
KLE_ENDOMETRIUM,4.863734
HS895T_SKIN,4.427812
LN229_CENTRAL_NERVOUS_SYSTEM,4.093184
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.232324
RKN_SOFT_TISSUE,4.45893
PATU8988S_PANCREAS,9.564303
NH6_AUTONOMIC_GANGLIA,3.820818
SF126_CENTRAL_NERVOUS_SYSTEM,4.148327
RERFLCAD2_LUNG,5.066504
OUMS23_LARGE_INTESTINE,7.026981
SNGM_ENDOMETRIUM,4.90189
OUMS27_BONE,4.137538
PL45_PANCREAS,6.3909
NCIH2347_LUNG,8.245479
SW1990_PANCREAS,4.207048
HS940T_SKIN,4.396567
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.559514
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.391476
RERFGC1B_STOMACH,5.594813
HT1080_SOFT_TISSUE,4.275448
NCIH2087_LUNG,7.266673
COV318_OVARY,4.018908
NCIH2085_LUNG,4.261767
NCIH510_LUNG,6.074198
CAKI1_KIDNEY,3.989863
NCIH716_LARGE_INTESTINE,4.221249
NCIH2066_LUNG,4.272631
NCIH1341_LUNG,4.448109
NCIH2029_LUNG,4.370794
C3A_LIVER,4.512995
SW480_LARGE_INTESTINE,4.911781
HS746T_STOMACH,4.06846
LU65_LUNG,4.315887
HS739T_BREAST,4.271559
SNUC2A_LARGE_INTESTINE,6.058396
HEC151_ENDOMETRIUM,4.724233
MSTO211H_PLEURA,4.05864
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.512076
SKMEL1_SKIN,3.874909
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.551731
JHH7_LIVER,5.057511
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.262564
5637_URINARY_TRACT,5.103476
HCC38_BREAST,4.124363
DU4475_BREAST,4.169479
NCIH1573_LUNG,8.507455
NCIH508_LARGE_INTESTINE,10.00127
NCIH1651_LUNG,4.110444
SKUT1_SOFT_TISSUE,4.119136
MDAMB175VII_BREAST,8.532142
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,4.158621
BECKER_CENTRAL_NERVOUS_SYSTEM,4.068445
NCIH226_LUNG,4.221595
NCIH1666_LUNG,8.548937
SW1783_CENTRAL_NERVOUS_SYSTEM,3.976073
ISTMES1_PLEURA,3.838357
NCIH1734_LUNG,9.398913
NCIH2342_LUNG,6.478999
EBC1_LUNG,5.609123
YMB1_BREAST,4.079122
OC316_OVARY,3.965409
HS936T_SKIN,4.084477
T173_BONE,3.643238
NCIH322_LUNG,6.555032
HS618T_LUNG,4.229281
HS870T_BONE,4.614019
